Write File/Path: tmp/telegram-inbox/products_export_2026-04-11_updated.csv
============================================================

name,actual_price,image_url,is_used
"11A Fixed & Plunge Base Router Mastercraft",129.99,"https://media-www.canadiantire.ca/product/fixing/tools/portable-power-tools/0546821/mastercraft-11a-fixed-and-plunge-base-router-c1f18341-7de7-45ed-8b47-4eee97a277af-jpgrendition.jpg",false
"Skyline Outdoor Patio Hard-Top Gazebo w/ Bug Net, for All-Season, Black, 10x12-ft Canvas",1199.99,"https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0882278/canvas-skyline-10-x-12-double-tier-gazebo-12bff935-2c03-4604-a6aa-3e5a08f43969-jpgrendition.jpg",false
"Kort & Co. Kassia 40.9"" Linen-Look Fabric Chair with Wood Base and ... The Brick",679.95,"https://www.thebrick.com/cdn/shop/products/shopify-image_15ca4427-c560-42ef-835e-f01049a28c35_1500x.jpg?v=1662652026",false
"Bluebay Outdoor Fire Table For Living",249.99,"https://www.canadiantire.ca/api/v1/product/image/0851577p?baseStoreId=CTR&lang=en_CA&subscription-key=c01ef3612328420c9f5cd9277e815a0e&imwidth=1244&impolicy=gZoom",false
"Knock Box (BCB100) Breville",39.99,"https://multimedia.bbycastatic.ca/multimedia/products/500x500/136/13640/13640486.jpg",false
"Mindblown Working Motor Engine Model Building Kit, Educational Toy, Ages 8+ Discovery",49.99,"https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/0504958/discovery-motor-engine-fb27aaad-fe50-4098-8eb0-ac5171662d1d-jpgrendition.jpg",false
"Turbo Extreme Steam Handheld Fabric Steamer GS38XC Conair",64.99,"https://images.homedepot.ca/productimages/p_1001581008.jpg?product-images=l",false
"EastPoint Newcastle Foosball Soccer Game Table w/ 2 Balls, Wood Finish, 54-in EastPoint Sports",449.99,"https://www.canadiantire.ca/api/v1/product/image/0846161p?baseStoreId=CTR&lang=en_CA&subscription-key=c01ef3612328420c9f5cd9277e815a0e&imwidth=1244&impolicy=gZoom",false
"EastPoint Fairmont Foosball Soccer Game Table with 2 Balls Wood Finish 48-in EastPoint Sports",209.99,"https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/indoor-games/1840879/eastpoint-sports-48-fairmont-foosball-table-64891eb9-f552-41ef-84fd-aa917e89f0ba-jpgrendition.jpg",false
"Store-It-Out Max Horizontal Shed Keter",349.99,"https://www.canadiantire.ca/api/v1/product/image/0600153p?baseStoreId=CTR&lang=en_CA&subscription-key=c01ef3612328420c9f5cd9277e815a0e&imwidth=1244&impolicy=gZoom",false
"AT-TE Walker 75337 Lego",179.99,"https://www.lego.com/cdn/cs/set/assets/blt05cf4b74ee94dd14/75337.png?fit=crop&quality=80&width=800&height=800&dpr=1",false
"Peru Medium Roast Organic Whole Bean Coffee, 2 x 907 g Level Ground",63.99,"https://levelground.com/cdn/shop/files/300gPERCFT_1000x.png?v=1729716106",false
"Oscillating Parabolic Dish Radiating Heater Noma",66.99,"https://media-www.canadiantire.ca/product/fixing/home-environment/winter-climate-control/0435999/noma-oscillating-parablic-dish-radiating-heater-7aadd27c-3547-4a4d-9d9b-7d3e98ea2c47-jpgrendition.jpg",false
"Oro Whole Bean Coffee, 1 kg Lavazza",33.99,"https://media-www.canadiantire.ca/product/living/food-drink/everyday-food-and-drink/1532580/lavazza-organic-whole-bean-coffee-1-kg-c9d43f74-ed54-4072-a378-f99d9120a515-jpgrendition.jpg",false
"East Africa Dark Roast Organic Whole Bean Coffee, 2 x 907g Level Ground",63.99,"https://levelground.com/cdn/shop/files/300gCOLCFT_1445x.png?v=1729196424",false
"Kingsley Oak 8.7-inch x 72-inch Luxury Vinyl Plank Flooring (26 sq. ft. / case) Lifeproof",128.23,"https://images.homedepot.ca/productimages/p_1001033629.jpg?product-images=l",false
"Ember Swivel Glider Reclining Chair The Brick",599.95,"https://www.thebrick.com/cdn/shop/products/shopify-image_2a104940-7889-4eac-9900-8f85b4c7efe2_1500x.jpg?v=1709834627",false
"CREAMi Ice Cream, Sorbet & Milkshake Maker w/ 7 One-Touch Programs, Silver NC301C Ninja",179.99,"https://assets.sharkninja.com/video/upload/q_auto/c_limit,h_1200,w_300/v1/storefront/products/NC301/NC301_HeroMarquee_PDP-Desktop-2880x1620_01.jpg",false
"Composter with Two Chambers Tumbling",119.99,"https://images.homedepot.ca/productimages/p_1000710822.jpg?product-images=l",false
"Spadina Folding Steel Outdoor/Patio Bistro Set, Grey, 3-pc Canvas",139.93,"https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0882234/canvas-spadina-3-piece-folding-bistro-set-2e8d8d24-fca8-4fb7-bd91-f5d9a4b9df8c-jpgrendition.jpg",false
"Breakfast Essentials, Breakfast Drink Mix, Chocolate 10x40g Sachets Carnation",7.27,"https://i5.walmartimages.com/dfw/4ff9c6c9-ad46/k2-_0a671c38-d307-447c-835e-7904ab143c26.v1.png",false
"Eastpoint Game Sports Indoor Shuffleboard Table 9-ft EastPoint Sports",699.99,"https://media-www.canadiantire.ca/product/playing/team-sports-and-golf/indoor-games/1841286/eastpoint-sports-9-shuffleboard-table-7c4cdd89-d0b2-4acf-9653-c20be8dd8746-jpgrendition.jpg",false
"Easy Fry Prestige XL T-Fal",79.97,"https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0435732/t-fal-stainless-steel-air-fryer-09b2c751-e9d8-42b3-8555-5029a4a6023d-jpgrendition.jpg",false
"Compact 1.7 Cu. Ft. Freestanding Bar Fridge (NS-CF17BK9) Insignia",99.95,"https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6145/6145100_sd.jpg",false
"Storage Shed Grey 963-L Suncast",319.93,"https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-storage/0603517/suncast-34-cu-ft-horizontal-shed-a6b5ac64-5867-49cc-9f48-3ac81ee76e68-jpgrendition.jpg",false
"Discovery Puzzle Tantrix",2.69,"https://www.puzzlemaster.ca/imagecache/products/ffffff/640x640/000/000909.1668631102.jpg",false
"Primo Plus 3-Wheel Scooter with Lights Globber",102.79,"https://media-www.canadiantire.ca/product/playing/cycling/wheeled-goods/0848994/globber-primo-scooter-blue-f3b8427b-488e-47da-91ca-f9e7b18e24b3-jpgrendition.jpg",false
"Everett 2-Piece Sectional with Left-Facing Chaise - Grey Leons",980,"https://www.leons.ca/cdn/shop/files/Shopify_JPEG-Everett_43H80235_Sect_3Qtr_800x.jpg?v=1715195991",false
"Vintage Butterflies 500pc Round Puzzle eeBoo",26.99,"https://toadhalltoys.ca/assets/images/products/15874_l.jpg",false
"Coffee Brown Rattan Metal Stationary Chair with White Cushioned Seat Outsunny",573,"https://m.media-amazon.com/images/I/81X+pElNpJL._AC_SL1500_.jpg",false
"4-Slice Touchscreen Toaster with Easy Touch Technology Oster",69.99,"https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0430154/oster-4-slice-touchscreen-toaster-e0be3c10-1c78-4f03-8250-9719f6425ffe-jpgrendition.jpg",false
"Breakfast Essentials, Breakfast Drink Mix, Chocolate 880 g Carnation",14.97,"https://i5.walmartimages.com/dfw/4ff9c6c9-ad46/k2-_0a671c38-d307-447c-835e-7904ab143c26.v1.png",false
"Foodi PossibleCooker Pro 8-in-1 Multi-Cooker with 8 5 Quart Capacity Flat Matte Ninja",129.99,"https://www.canadiantire.ca/api/v1/product/api/v1/product/image/0430326p?baseStoreId=CTR&lang=en_CA&subscription-key=c01ef3612328420c9f5cd9277e815a0e&imwidth=1244&impolicy=gZoom",false
"Ceni Volcanic Gray Sofa Article",2599,"https://cdn-images.article.com/products/SKU22200/2890x1500/image161903.jpg?fit=max&w=1200&q=100",false
"Bevin 34.4"" Grey Chenille Fabric Swivel Glider Reclining Chair The Brick",599.95,"https://www.thebrick.com/cdn/shop/products/shopify-image_8d83b1ed-1c04-47a4-accb-d151d823f9c8_800x.jpg?v=1648236837",false
"Non-Stick Rice Cooker, 6-Cup RC506C Black & Decker",19.99,"https://media-www.canadiantire.ca/product/living/kitchen/kitchen-appliances/0431372/black-decker-6-cup-rice-cooker-0e76bbc0-ebd0-433f-9449-f53a42227386-jpgrendition.jpg",false
"Skyline Outdoor Patio Hard-Top Gazebo w/ Bug Net, for All-Season, Black, 12x14-ft CANVAS",1699.99,"https://www.canadiantire.ca/api/v1/product/api/v1/product/image/0882279p?baseStoreId=CTR&lang=en_CA&subscription-key=c01ef3612328420c9f5cd9277e815a0e&imwidth=1244&impolicy=gZoom",false
"Creator Caravan Family Holiday 31108 Lego",99.99,"https://www.lego.com/cdn/cs/set/assets/blt3bc6a46024728887/31108.jpg?fit=bounds&format=jpg&quality=80&width=1500&height=1500&dpr=1",false
"Mini Handheld Classic Arcade Game For Kids, Ages 8+ Pac-Man",32.99,"https://media-www.canadiantire.ca/product/seasonal-gardening/toys/toys-games/0505603/arcade-classics-pac-man-a25b8478-4fa9-459d-9669-1d8378328e2a-jpgrendition.jpg",false
"Kraftform Plus Insulated Screwdriver Set 6pc Wera",53.99,"https://www.kmstools.com/media/catalog/product/cache/566b47ff56cd86a3e207e84e7af45cf2/w/e/wer-347777_1.jpg",false
"2-Door Pantry Storage Cabinet, White Sauder",89.99,"https://media-www.canadiantire.ca/product/living/home-decor/furniture/1680054/sauder-2-door-cabinet-white-f0545828-c760-4b0b-b508-7aec8cd2e477-jpgrendition.jpg",false
"Bala Rectangle Outdoor Patio Sectional Lounger Chair w UV-Resistant Cushions CANVAS",279.93,"https://media-www.canadiantire.ca/product/seasonal-gardening/backyard-living/outdoor-furniture/0882043/canvas-bala-lounger-b0be3fc6-85eb-4d1b-94dd-99fa227571d7-jpgrendition.jpg",false
"Sparkling Water, Grapefruit, 355 Milliliter, 8 Count La Croix",7.79,"https://i5.walmartimages.com/asr/0e0b96c1-8c0e-4e88-9c18-7b4e8e8e8e8e.jpg",false
"Kassia Linen-Look Loveseat - Blue The Brick",879.95,"https://www.thebrick.com/cdn/shop/products/shopify-image_3f5dac61-109d-4608-a839-55cd3fceb24b_800x.jpg?v=1662652285",false
"Supreme Grind Auto Burr Mill BM-16PCC Cuisinart",69.99,"https://www.canadiantire.ca/api/v1/product/api/v1/product/image/0430435p?baseStoreId=CTR&lang=en_CA&imwidth=1244&impolicy=gZoom",false
"Portable Induction Cooktop ID1948 Salton",59.98,"https://multimedia.bbycastatic.ca/multimedia/products/500x500/146/14689/14689887.jpeg",false
"Elroy 33"" Rustic Round Lift Top Coffee Table With Storage, Shelf an... The Brick",299.95,"https://www.thebrick.com/cdn/shop/products/shopify-image_5f5f5f5f-1234-5678-90ab-cdef12345678_1500x.jpg",false
"WARBI COFFEE TABLE Mobilia",398,"https://mobilia.ca/media/catalog/product/1/5/1529840873_warbi-coffee-table.jpg",false
"Luke Skywalkers X-Wing Fighter 75301 LEGO",69.99,"https://www.lego.com/cdn/cs/set/assets/blte1238e85dc34c0a6/75301.jpg?fit=crop&quality=80&width=800&height=800&dpr=1",false
"Sloane Leather Sofa- Chocolate Leons",2199,"https://www.leons.ca/cdn/shop/files/Shopify_JPEG-Sloane_80H11155_S_3Qtr11.jpg?pad_color=fff&v=1698427611&width=2048",false
"Kasey 2-Piece Sectional with Left Facing Chaise - Grey Leons",1499,"https://www.leons.ca/cdn/shop/files/Shopify_JPEG-Kasey_43H80235_SECT_SW_800x.jpg?v=1715196054",false
"Friends Heartlake City Grand Hotel (41684) Lego",139.99,"https://www.lego.com/cdn/cs/set/assets/blt4a2e1234567890ab/41684.jpg?fit=crop&quality=80&width=800&height=800&dpr=1",false
"WiFi & Bluetooth Karaoke System with Wireless Microphones (ISM9022) - White- Only at Best Buy Singing machine",349.99,"https://multimedia.bbycastatic.ca/multimedia/products/500x500/179/17920/17920347.jpg",false
